year,sim_month,sim_day,site,treatment,plot_ID,UTM_North,UTM_East,elevation.m,can_total.pct,can_foliar.pct,can_forb.pct,can_grass.pct,can_shrub.pct,can_litter.pct,can_standing_dead.pct,can_woody_dead.pct,can_ALWR.pct,can_ARIST.pct,can_DAPU7.pct,can_EREC.pct,can_ERLE.pct,can_JAMA.pct,can_LATR2.pct,can_MESC.pct,can_MUPO2.pct,can_PAIN2.pct,can_RHMI3.pct,can_SIAB.pct,can_VACO9.pct,can_ZIAC.pct,grd_bare_ground.pct,grd_basal.pct,grd_bare_soil.pct,grd_feces.pct,grd_forb.pct,grd_grass.pct,grd_litter.pct,grd_rock.pct,grd_shrub.pct,grd_standing_dead.pct,grd_woody_dead.pct,grd_ARIST.pct,grd_DAPU7.pct,grd_EREC.pct,grd_ERLE.pct,grd_MUPO2.pct,grd_PAIN2.pct,grd_VACO9.pct,grd_ZIAC.pct,gap_transects_length.cm,can_gap_20_24cm.cm,can_gap_25_50cm.cm,can_gap_51_100cm.cm,can_gap_101_150cm.cm,can_gap_151_200cm.cm,can_gap_201_250cm.cm,can_gap_251_300cm.cm,can_gap_301_350cm.cm,can_gap_351_400cm.cm,can_gap_401_450cm.cm,can_gap_25_50cm.pct,can_gap_51_100cm.pct,can_gap_101_200cm.pct,can_gap_201_450cm.pct,basal_gap_20_24cm.cm,basal_gap_25_50cm.cm,basal_gap_51_100cm.cm,basal_gap_101_150cm.cm,basal_gap_151_200cm.cm,basal_gap_201_250cm.cm,basal_gap_251_300cm.cm,basal_gap_301_350cm.cm,basal_gap_351_400cm.cm,basal_gap_401_450cm.cm,basal_gap_25_50cm.pct,basal_gap_51_100cm.pct,basal_gap_101_200cm.pct,basal_gap_201_450cm.pct,slope.pct,surface_roughness.cm,gravimetric_soil_moisture.pct,Runoff_cum_15Lmin.L,Runoff_cum_30Lmin.L,Runoff_cum_40Lmin.L,Runoff_mean_15Lmin.Lmin,Runoff_mean_30Lmin.Lmin,Runoff_mean_40Lmin.Lmin,Sed_cum_15Lmin.g,Sed_cum_30Lmin.g,Sed_cum_40Lmin.g,Sed_mean_15Lmin.gL,Sed_mean_30Lmin.gL,Sed_mean_40Lmin.gL,incised,flow_paths_1m_15Lmin.n,flow_paths_2m_15Lmin.n,flow_paths_3m_15Lmin.n,flow_paths_1m_30Lmin.n,flow_paths_2m_30Lmin.n,flow_paths_3m_30Lmin.n,flow_paths_1m_40Lmin.n,flow_paths_2m_40Lmin.n,flow_paths_3m_40Lmin.n,flow_depth_mean_1m_15Lmin.cm,flow_depth_mean_2m_15Lmin.cm,flow_depth_mean_3m_15Lmin.cm,flow_depth_mean_1m_30Lmin.cm,flow_depth_mean_2m_30Lmin.cm,flow_depth_mean_3m_30Lmin.cm,flow_depth_mean_1m_40Lmin.cm,flow_depth_mean_2m_40Lmin.cm,flow_depth_mean_3m_40Lmin.cm,flow_width_mean_1m_15Lmin.cm,flow_width_mean_2m_15Lmin.cm,flow_width_mean_3m_15Lmin.cm,flow_width_mean_1m_30Lmin.cm,flow_width_mean_2m_30Lmin.cm,flow_width_mean_3m_30Lmin.cm,flow_width_mean_1m_40Lmin.cm,flow_width_mean_2m_40Lmin.cm,flow_width_mean_3m_40Lmin.cm,total_rill_area_width_1m_15Lmin.cm,total_rill_area_width_2m_15Lmin.cm,total_rill_area_width_3m_15Lmin.cm,total_rill_area_width_1m_30Lmin.cm,total_rill_area_width_2m_30Lmin.cm,total_rill_area_width_3m_30Lmin.cm,total_rill_area_width_1m_40Lmin.cm,total_rill_area_width_2m_40Lmin.cm,total_rill_area_width_3m_40Lmin.cm,wet_width_1m.cm,wet_width_2m.cm,wet_width_3m.cm,velo_mean_1_2m_15Lmin.msec,velo_mean_2_3m_15Lmin.msec,velo_mean_1_3m_15Lmin.msec,velo_mean_1_2m_30Lmin.msec,velo_mean_2_3m_30Lmin.msec,velo_mean_1_3m_30Lmin.msec,velo_mean_1_2m_40Lmin.msec,velo_mean_2_3m_40Lmin.msec,velo_mean_1_3m_40Lmin.msec
2018,July,18,RG47,Tebuthiuron,1,3507179,594198,1418,69.54314721,56.85279188,0.507614213,56.34517766,0,14.21319797,4.060913706,0.507614213,0,27.41116751,1.015228426,0,25.88832487,0,0,0,5.583756345,0,0,0.507614213,0,0,11.6751269,17.25888325,36.54822335,0,0,17.25888325,14.21319797,31.47208122,0,0.507614213,0,10.15228426,1.015228426,0,4.568527919,1.52284264,0,0,0,3923,20,85,0,0,0,0,0,0,0,0,2.166709151,0,0,0,100,783,1431,105,0,0,0,0,0,0,19.95921489,36.47718583,2.676523069,0,11.3,1.651602201,10.04407025,15.81082596,104.5965662,161.335341,1.860097172,12.30547838,18.98062835,13.22132701,37.74242209,50.31276425,0.79769899,0.370061615,0.318225673,FALSE,1,2,1,1,2,1,1,1,1,0.557142857,0.9,0.5,0.557142857,0.725,0.771428571,0.928571429,1.014285714,0.65,186,75,88,207,92,140,246,254,200,186,211,88,207,239,140,246,254,200,263,260,188,0.031320844,0.025694619,0.038323025,0.082072885,0.036363717,0.063778612,0.0905177,0.044878543,0.095883824
2018,July,18,RG47,Tebuthiuron,2,3507179,594212,1427,75.74257426,58.91089109,0,58.91089109,0,25.74257426,0.99009901,3.465346535,0,0,0.99009901,13.36633663,33.66336634,0,0,0,14.35643564,0,0,0,0,0,11.38613861,7.920792079,43.06930693,0,0,7.920792079,28.21782178,18.31683168,0,0,2.475247525,0,0.495049505,2.475247525,1.98019802,2.97029703,0,0,0,4020,43,180,60,0,0,0,0,0,0,0,4.47761194,1.492537313,0,0,40,709,911,454,158,0,0,0,0,0,17.63681592,22.66169154,15.2238806,0,13.1,1.22928711,13.12320695,18.99011364,113.49733,203.7915312,2.234131016,13.35262706,23.97547426,11.1832558,46.60273428,81.76292626,0.616756116,0.432394272,0.398335015,FALSE,1,2,1,1,2,2,1,2,2,0.6,1.05,0.7,0.7,0.45,0.645833333,0.814285714,0.625,0.675,166,94,107,153,107.5,85.5,191,119.5,109,166,226,107,153,256,285,191,253,285,213,279,314,0.013555139,0.03685429,0.033658124,NA,0.079165678,0.069754214,NA,0.124053615,0.089075244
2018,July,18,RG47,Tebuthiuron,3,3507190,594208,1419,82.5,59.5,0,59.2039801,0,32.8358209,0,0,0,0,0.497512438,0,49.75124378,0,0,0,14.92537313,0,0,0,0,0,8,7.5,52,0,0,7.5,21.5,18.5,0,0,0.5,0,0,0,6,1.5,0,0,0,3993,0,394,76,0,0,0,0,0,0,0,9.867267719,1.903330829,0,0,20,382,798,891,527,244,0,0,0,0,9.566741798,19.9849737,35.51214626,6.110693714,11.4,1.414447675,8.586392353,26.8016263,129.3197575,216.8885961,3.153132506,15.21408912,25.51630543,25.47192097,57.7567098,71.03592435,1.138063448,0.533314229,0.332691083,FALSE,1,1,2,1,1,2,1,1,1,0.54,0.42,0.4875,0.814285714,0.814285714,0.75,0.933333333,0.716666667,0.9,61,108,63,84,132,118,89,137,238,61,108,216,84,132,231,89,137,238,151,204,238,0.103112213,0.059391345,0.070223031,0.198159181,0.087521135,0.117272857,0.232548418,0.103051668,0.135140064
2018,July,18,RG47,Tebuthiuron,4,3507197,594214,1419,89.05472637,72.13930348,0,72.13930348,0,25.37313433,0,0,0,14.4278607,0.497512438,0,50.24875622,0,0,0,11.94029851,0,0,0,0,0,6.467661692,12.93532338,51.24378109,0,0,12.93532338,21.39303483,14.4278607,0,0,0,1.990049751,0.497512438,0,7.462686567,2.985074627,0,0,0,3975,66,40,109,0,0,0,0,0,0,0,1.006289308,2.742138365,0,0,23,387,1655,576,184,204,0,0,0,0,9.735849057,41.63522013,19.11949686,5.132075472,10.5,1.866090935,11.05516223,17.75844527,110.6241984,191.9661785,2.089228855,13.01461157,22.5842563,9.380685659,54.55285749,97.81920689,0.540998273,0.515687075,0.51293919,FALSE,2,2,3,2,1,1,2,1,1,0.4,0.196666667,0.277777778,0.458333333,0.36,0.785714286,0.55,0.733333333,0.516666667,33,69,25.33333333,58,164,149,54.5,167,168,NA,NA,NA,147,164,149,158,167,168,183,175,193,0.052005258,0.032097374,0.039538108,0.080859557,0.048131154,0.058383624,0.094012673,0.062086996,0.070523163
2018,July,18,RG47,Tebuthiuron,5,3507198,594205,1418,81.02564103,67.17948718,0,67.17948718,0,20.51282051,0,0,0,4.102564103,0,0,57.43589744,0,0,0,8.205128205,0,0,0,0,0,12.30769231,7.692307692,68.20512821,0,0,7.692307692,12.82051282,11.28205128,0,0,0,1.025641026,0.512820513,0,5.641025641,0.512820513,0,0,0,3837,44,243,80,0,0,0,0,0,0,0,6.333072713,2.08496221,0,0,40,470,1109,626,345,0,555,0,0,0,12.24915298,28.90278864,25.30622882,14.46442533,11,1.24110129,8.727504978,9.988780755,95.14849272,158.3263831,1.175150677,11.19394032,18.62663331,12.85230407,42.61486333,92.05355376,1.300820362,0.483107904,0.572509967,FALSE,1,2,1,1,2,1,1,1,1,0.4,0.3,0.4,0.416666667,0.4,0.385714286,0.514285714,0.566666667,0.46,128,73.5,244,175,119.5,262,179,251,268,128,200,244,173,248,262,179,251,268,263,294,307,NA,NA,0.040236446,0.059382568,0.031533221,0.061592345,0.069012466,0.045298992,0.077564024
2018,July,18,RG47,Tebuthiuron,6,3507206,594208,1418,74.74747475,52.52525253,0,52.02020202,0.505050505,26.76767677,2.525252525,0,0,17.67676768,0,0,32.32323232,0,0,0,4.04040404,0,0,0,0.505050505,0,10.60606061,4.545454545,58.58585859,1.01010101,0,4.545454545,13.13131313,22.22222222,0,0.505050505,0,2.02020202,0,0,2.02020202,0.505050505,0,0,0,3904,41,304,75,0,0,0,0,0,0,0,7.786885246,1.921106557,0,0,45,346,963,610,872,210,293,0,0,0,8.862704918,24.6670082,37.96106557,12.88422131,11.6,1.123955159,16.67943154,48.91028061,125.6852043,219.7965925,5.75415066,14.78649462,25.85842265,14.78481381,77.19674266,104.3805679,0.360560962,0.605855451,0.474849756,FALSE,1,1,1,1,1,1,1,1,1,0.8,0.483333333,0.333333333,0.916666667,1.214285714,0.828571429,1.128571429,0.828571429,0.933333333,107,111,104,109,126,105,108,128,118,107,111,104,109,126,105,108,128,118,130,145,122,0.056697858,0.080455767,0.073075943,0.102344834,0.116393592,0.091838339,0.128707413,0.106830453,0.111466245
2018,July,18,RG47,Tebuthiuron,7,3507204,594197,1425,75.77319588,60.30927835,0,60.30927835,0,23.71134021,0.515463918,0,0,3.092783505,1.030927835,0,56.18556701,0,0,0,0,0,0,0,0,0,13.91752577,6.18556701,63.91752577,0,0,6.18556701,6.18556701,23.71134021,0,0,0,0,0.515463918,0,5.670103093,0,0,0,0,3810,0,183,191,0,0,0,0,0,0,0,4.803149606,5.01312336,0,0,124,505,1355,480,0,0,0,0,0,0,13.25459318,35.56430446,12.5984252,0,10.8,0.926237384,8.449001709,21.04185,116.2105685,183.8019621,2.475511764,13.67183159,21.62376025,8.727107606,26.35379741,41.80782403,0.414956454,0.233093236,0.228124014,FALSE,1,1,1,1,1,2,1,1,1,0.551666667,0.471428571,0.25,0.728571429,0.766666667,0.67625,0.914285714,1.066666667,0.557142857,112,204,91,157,201,108,169,228,226,112,204,91,157,201,246,169,228,226,180,248,275,0.092813447,0.114059504,0.062133269,0.128501268,0.11719166,0.090468797,0.170410011,0.107567173,0.103957831
2018,July,24,RG47,Control,8,3507158,594104,1415,56.71641791,45.77114428,0,8.374384236,40.39408867,1.477832512,12.31527094,0,0,0,0,0,0,0,0,0.982806916,8.367139959,8.374384236,0,0,20.18497054,15.24678837,15.42288557,1.492537313,51.24378109,0,0,0.497512438,1.492537313,45.77114428,0.995024876,0,0,0,0,0,0,0.497512438,0,0.497512438,0.497512438,4015,39,537,759,0,0,0,0,0,0,0,13.37484433,18.90410959,0,0,0,38,1041,904,653,219,0,343,0,436,0.946450809,25.92777086,38.77957659,24.85678705,10.5,1.717729754,11.79237167,8.35484574,83.0306689,175.2748649,0.982923028,9.768313989,20.62057234,3.502046467,43.73218218,73.13603877,0.43121881,0.659067079,0.407333407,FALSE,1,1,3,1,1,3,1,1,3,0.46,0.216666667,0.25,0.685714286,0.728571429,0.458333333,0.8,0.957142857,0.708888889,100,104,41.66666667,107,129,47.33333333,119,137,53,100,104,215,107,129,189,119,157,201,256,313,215,0.044928687,0.015927442,0.032073414,0.066147784,0.073863621,0.062154869,0.083002997,0.106739916,0.081330072
2018,July,25,RG47,Control,9,3507157,594101,1414,69.15422886,61.69154229,0,42.78606965,36.31840796,1.990049751,10.94527363,0.497512438,0,0,0,0,0,0,0,0.497512438,42.78606965,0.995024876,0,0,26.86567164,11.44278607,19.40298507,0.497512438,68.15920398,0,0,0.497512438,1.492537313,29.35323383,0,0.497512438,0,0,0,0,0,0.497512438,0,0,0,3987,63,385,532,0,0,0,269,0,0,0,9.656383246,13.34336594,0,6.746927514,0,190,797,919,1435,242,0,0,0,0,4.765487835,19.98996739,59.04188613,6.069726611,11.6,1.463213323,13.78002976,12.37579293,114.8482719,214.6833735,1.455975639,13.5115614,25.25686747,7.718254722,68.88033668,101.8361566,0.611293571,0.648924257,0.495646056,FALSE,1,1,2,1,1,1,1,1,1,0.242857143,0.142857143,0.358333333,0.25,0.266666667,0.314285714,0.542857143,0.366666667,0.55,160,250,76,190,259,220,186,230,263,160,250,250,190,259,220,186,230,263,260,305,310,0.038303258,0.036708564,0.055090476,0.059883018,0.065290305,0.088086631,0.062088799,0.06803655,0.105862716
2018,July,25,RG47,Control,10,3507149,594097,1416,45.22613065,40.70351759,0,11.05527638,37.68844221,3.015075377,3.015075377,0,0,0,0.502512563,0,0,0,0,0,10.55276382,3.51758794,12.56281407,0,7.035175879,18.59296482,19.09547739,0.502512563,46.73366834,0,0,0.502512563,2.010050251,50.75376884,0,0,0,0,0.502512563,0,0,0,0,0,0,3975,23,592,669,357,160,0,0,0,0,0,14.89308176,16.83018868,13.00628931,0,0,243,726,500,178,430,797,320,0,427,6.113207547,18.26415094,17.05660377,49.66037736,10.3,0.888695172,12.86579032,53.14826448,173.072084,278.4179737,6.252736998,20.36142165,32.75505573,28.18163349,105.1113139,185.6299241,0.588969718,0.633971858,0.669228354,FALSE,1,1,1,1,1,2,1,1,2,0.5,0.428571429,0.37,0.65,0.514285714,0.575,0.8,0.4875,0.497142857,133,190,74.9,135,200,68.5,166,210,82,133,190,182,135,200,185,166,210,208,220,220,244,NA,NA,NA,0.118419921,0.102192273,0.108297676,0.135730285,0.121854895,0.124337093
2018,July,25,RG47,Control,11,3507141,594089,1416,46.27659574,28.19148936,1.063829787,5.319148936,22.34042553,6.914893617,14.36170213,0.531914894,0,0,0.531914894,0,0,1.063829787,0,0,4.787234043,0,0,0,6.914893617,17.55319149,31.38297872,2.659574468,65.42553191,0,0,0.531914894,4.255319149,26.06382979,2.127659574,1.595744681,0,0,0,0,0,0.531914894,0,0,2.127659574,3756,0,489,1163,508,0,0,0,0,0,0,13.01916933,30.96379127,13.52502662,0,0,167,689,918,535,446,0,341,357,0,4.446219382,18.34398296,38.68477103,30.45793397,8.8,1.265575103,10.17051296,55.05764318,143.3804054,230.3057917,6.477369786,16.86828299,27.09479903,38.28373797,127.8783683,175.392877,0.842035346,0.924560374,0.770905433,FALSE,1,2,2,1,2,2,1,2,2,0.366666667,0.401666667,0.3,0.657142857,0.475,0.6,0.8,0.6325,0.501666667,110,55.5,84.5,154,66,94.5,180,64.5,88.5,110,141,201,154,140,210,180,152,207,215,235,256,0.062966709,0.059093119,0.079522212,0.111111111,0.119608245,0.120982987,0.17765625,0.14393255,0.149799538
2018,July,25,RG47,Control,12,3507142,594079,1414,58.03108808,53.88601036,0,6.735751295,53.36787565,1.554404145,3.626943005,0,3.626943005,0,0,0,0,0,2.590673575,0,6.735751295,22.27979275,0,0,23.31606218,11.39896373,16.58031088,2.07253886,61.65803109,0,0,0.518134715,5.699481865,30.56994819,1.554404145,0,0,0,0,0,0,0.518134715,0.518134715,1.03626943,0,3907,0,412,477,0,0,0,0,0,0,0,10.54517533,12.2088559,0,0,0,85,681,517,1154,640,0,0,361,440,2.175582288,17.43025339,42.76938828,36.88251856,9.7,1.493628814,9.794213214,51.02684636,173.0868957,269.6838829,6.003158395,20.3631642,31.72751564,55.69607984,143.6707698,414.9598166,1.480125441,0.82136371,1.55081476,FALSE,1,1,1,1,1,1,1,1,1,0.6,0.4,0.416666667,0.5,0.516666667,0.371428571,0.883333333,0.66,0.685714286,63,43,49,75,43,62,87,47,65,63,43,49,75,43,62,87,47,65,127,127,122,NA,0.089705177,NA,NA,0.176118629,NA,0.174665674,0.181578618,0.173051016
2018,July,25,RG47,Control,13,3507138,594075,1414,61.17021277,52.12765957,0,1.063829787,51.59574468,3.191489362,10.10638298,3.191489362,0,0,0.531914894,0,0,0,0.531914894,0,0.531914894,27.65957447,3.191489362,0,26.06382979,9.574468085,24.46808511,1.063829787,57.9787234,0,0,0.531914894,11.70212766,28.19148936,0.531914894,1.063829787,0,0,0.531914894,0,0,0,0.531914894,0,0,3721,44,294,527,325,0,0,0,0,0,0,7.901101854,14.16285945,8.734211234,0,24,100,518,831,331,475,267,1001,0,0,2.68744961,13.92098898,31.22816447,46.84224671,11.3,1.639705148,10.97515758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,165,100,127,160,97,130,163,75,130,163,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
